MIDI,Onset,Duration,String,Position,Finger,Expansion
41,0.0,0.111111111,4,2,4,0
53,0.111111111,0.111111111,2,2,2,0
52,0.222222222,0.111111111,2,2,1,0
53,0.333333333,0.111111111,2,2,2,0
56,0.444444444,0.111111111,2,4,4,0
55,0.555555556,0.111111111,2,4,3,0
56,0.666666667,0.111111111,2,4,4,0
55,0.777777778,0.111111111,2,4,3,0
53,0.888888889,0.111111111,2,4,1,0
40,0.0,0.111111111,4,2,3,0
52,0.111111111,0.111111111,2,2,1,0
53,0.222222222,0.111111111,2,2,2,0
55,0.333333333,0.111111111,2,2,4,0
53,0.444444444,0.111111111,2,2,2,0
52,0.555555556,0.111111111,2,2,1,0
58,0.666666667,0.111111111,2,6,4,0
56,0.777777778,0.111111111,2,6,2,0
55,0.888888889,0.111111111,2,6,1,0
41,0.0,0.111111111,4,2,4,0
53,0.111111111,0.111111111,2,2,2,0
52,0.222222222,0.111111111,2,2,1,0
53,0.333333333,0.111111111,2,2,2,0
56,0.444444444,0.111111111,2,4,4,0
55,0.555555556,0.111111111,2,4,3,0
56,0.666666667,0.111111111,2,4,4,0
55,0.777777778,0.111111111,2,4,3,0
53,0.888888889,0.111111111,2,4,1,0
40,0.0,0.111111111,4,2,3,0
52,0.111111111,0.111111111,2,2,1,0
53,0.222222222,0.111111111,2,2,2,0
55,0.333333333,0.111111111,2,2,4,0
53,0.444444444,0.111111111,2,2,2,0
52,0.555555556,0.111111111,2,2,1,0
58,0.666666667,0.111111111,2,6,4,0
56,0.777777778,0.111111111,2,6,2,0
55,0.888888889,0.111111111,2,6,1,0
41,0.0,0.111111111,4,2,4,0
53,0.111111111,0.111111111,2,2,2,0
52,0.222222222,0.111111111,2,2,1,0
53,0.333333333,0.111111111,2,2,2,0
56,0.444444444,0.111111111,2,4,4,0
55,0.555555556,0.111111111,2,4,3,0
56,0.666666667,0.111111111,2,4,4,0
58,0.777777778,0.111111111,1,1,1,0
60,0.888888889,0.111111111,1,1,3,0
61,0.0,0.111111111,1,1,4,0
60,0.111111111,0.111111111,1,1,3,0
58,0.222222222,0.111111111,1,1,1,0
61,0.333333333,0.111111111,1,1,4,0
60,0.444444444,0.111111111,1,1,3,0
58,0.555555556,0.111111111,1,1,1,0
56,0.666666667,0.111111111,2,4,4,0
55,0.777777778,0.111111111,2,4,3,0
53,0.888888889,0.111111111,2,4,1,0
36,0.0,0.111111111,4,4,0,0
60,0.111111111,0.111111111,1,2,2,0
59,0.222222222,0.111111111,1,2,1,0
60,0.333333333,0.111111111,1,2,2,0
64,0.444444444,0.111111111,1,5,4,0
63,0.555555556,0.111111111,1,5,3,0
64,0.666666667,0.111111111,1,5,4,0
67,0.777777778,0.111111111,1,8,4,0
66,0.888888889,0.111111111,1,8,3,0
67,0.0,0.111111111,1,8,4,0
64,0.111111111,0.111111111,1,8,1,0
65,0.222222222,0.111111111,1,8,2,0
67,0.333333333,0.111111111,1,8,4,0
65,0.444444444,0.111111111,1,8,2,0
64,0.555555556,0.111111111,1,8,1,0
61,0.666666667,0.111111111,1,1,4,0
60,0.777777778,0.111111111,1,1,3,0
58,0.888888889,0.111111111,1,1,1,0
56,0.0,0.111111111,2,4,4,0
53,0.111111111,0.111111111,2,4,1,0
55,0.222222222,0.111111111,2,4,3,0
56,0.333333333,0.111111111,2,4,4,0
60,0.444444444,0.111111111,1,4,1,0
56,0.555555556,0.111111111,2,4,4,0
53,0.666666667,0.111111111,2,4,1,0
56,0.777777778,0.111111111,2,4,4,0
53,0.888888889,0.111111111,2,4,1,0
49,0.0,0.111111111,3,4,4,0
53,0.111111111,0.111111111,2,4,1,0
56,0.222222222,0.111111111,2,4,4,0
61,0.333333333,0.111111111,1,4,2,0
56,0.444444444,0.111111111,2,4,4,0
53,0.555555556,0.111111111,2,4,1,0
49,0.666666667,0.111111111,3,4,4,0
53,0.777777778,0.111111111,2,4,1,0
56,0.888888889,0.111111111,2,4,4,0
48,0.0,0.111111111,3,4,3,0
53,0.111111111,0.111111111,2,4,1,0
56,0.222222222,0.111111111,2,4,4,0
60,0.333333333,0.111111111,1,4,1,0
56,0.444444444,0.111111111,2,4,4,0
53,0.555555556,0.111111111,2,4,1,0
48,0.666666667,0.111111111,3,4,3,0
53,0.777777778,0.111111111,2,4,1,0
56,0.888888889,0.111111111,2,4,4,0
47,0.0,0.111111111,3,2,3,0
50,0.111111111,0.111111111,2,2,0,0
53,0.222222222,0.111111111,2,2,2,0
59,0.333333333,0.111111111,1,2,1,0
53,0.444444444,0.111111111,2,2,2,0
50,0.555555556,0.111111111,2,2,0,0
47,0.666666667,0.111111111,3,2,3,0
50,0.777777778,0.111111111,2,2,0,0
53,0.888888889,0.111111111,2,2,2,0
48,0.0,0.111111111,3,4,3,0
53,0.111111111,0.111111111,2,4,1,0
56,0.222222222,0.111111111,2,4,4,0
60,0.333333333,0.111111111,1,4,1,0
56,0.444444444,0.111111111,2,4,4,0
