MIDI,Onset,Duration,String,Position,Finger
47,0,0.125,3,1,4
51,0.125,0.125,2,1,1
54,0.25,0.125,2,1,4
51,0.375,0.125,2,1,1
47,0.5,0.125,3,1,4
51,0.625,0.125,2,1,1
54,0.75,0.125,2,1,4
59,0.875,0.125,1,1,2
58,0,0.125,1,1,1
59,0.125,0.125,1,1,2
61,0.25,0.125,1,1,4
58,0.375,0.125,1,1,1
54,0.5,0.125,2,1,4
52,0.625,0.125,2,1,2
54,0.75,0.125,2,1,4
52,0.875,0.125,2,1,2
51,0,0.125,2,1,1
47,0.125,0.125,3,1,4
51,0.25,0.125,2,1,1
54,0.375,0.125,2,1,4
51,0.5,0.125,2,1,1
54,0.625,0.125,2,1,4
58,0.75,0.125,1,1,1
59,0.875,0.125,1,1,2
58,0,0.125,1,1,1
59,0.125,0.125,1,1,2
61,0.25,0.125,1,1,4
58,0.375,0.125,1,1,1
54,0.5,0.125,2,1,4
52,0.625,0.125,2,1,2
54,0.75,0.125,2,1,4
52,0.875,0.125,2,1,2
51,0,0.1875,2,1,1
59,0.1875,0.0625,1,1,2
59,0.25,0,1,1,2
61,0.25,0,1,1,4
59,0.25,0.125,1,1,2
58,0.375,0.0625,1,1,1
59,0.4375,0.0625,1,1,2
51,0.5,0.125,2,1,1
59,0.625,0.125,1,1,2
51,0.75,0.125,2,1,1
59,0.875,0.125,1,1,2
52,0,0.1875,2,1,2
59,0.1875,0.0625,1,1,2
59,0.25,0,1,1,2
61,0.25,0,1,1,4
59,0.25,0.125,1,1,2
58,0.375,0.0625,1,1,1
59,0.4375,0.0625,1,1,2
52,0.5,0.125,2,1,2
59,0.625,0.125,1,1,2
52,0.75,0.125,2,1,2
59,0.875,0.125,1,1,2
53,0,0.1875,2,1,3
59,0.1875,0.0625,1,1,2
59,0.25,0,1,1,2
61,0.25,0,1,1,4
59,0.25,0.125,1,1,2
58,0.375,0.0625,1,1,1
59,0.4375,0.0625,1,1,2
53,0.5,0.125,2,1,2
59,0.625,0.125,1,1,2
53,0.75,0.125,2,1,2
59,0.875,0.125,1,1,2
54,0,0.1875,2,1,4
58,0.1875,0.0625,1,1,1
58,0.25,0,1,1,1
59,0.25,0,1,1,2
58,0.25,0.125,1,1,1
57,0.375,0.0625,1,1,0
58,0.4375,0.0625,1,1,1
54,0.5,0.125,2,1,4
58,0.625,0.125,1,1,1
52,0.75,0.125,2,1,2
58,0.875,0.125,1,1,1
51,0,0.1875,2,1,1
59,0.1875,0.0625,1,1,2
59,0.25,0,1,1,2
61,0.25,0,1,1,4
59,0.25,0.125,1,1,2
58,0.375,0.0625,1,1,1
59,0.4375,0.0625,1,1,2
51,0.5,0.125,2,1,1
59,0.625,0.125,1,1,2
51,0.75,0.125,2,1,1
59,0.875,0.125,1,1,2
52,0,0.1875,2,1,2
59,0.1875,0.0625,1,1,2
59,0.25,0,1,1,2
61,0.25,0,1,1,4
59,0.25,0.125,1,1,2
58,0.375,0.0625,1,1,1
59,0.4375,0.0625,1,1,2
52,0.5,0.125,2,1,2
59,0.625,0.125,1,1,2
52,0.75,0.125,2,1,2
59,0.875,0.125,1,1,2
54,0,0.1875,2,1,4
58,0.1875,0.0625,1,1,1
58,0.25,0,1,1,1
59,0.25,0,1,1,2
58,0.25,0.125,1,1,1
57,0.375,0.0625,1,1,0
58,0.4375,0.0625,1,1,1
54,0.5,0.125,2,1,4
58,0.625,0.125,1,1,1
54,0.75,0.125,2,1,4
58,0.875,0.125,1,1,1
47,0,0.5,3,1,4
47,0,0.125,3,1,4
59,0.125,0.125,1,1,2
58,0.25,0.125,1,1,1
59,0.375,0.125,1,1,2
54,0.5,0.125,2,1,4
59,0.625,0.125,1,1,2
51,0.75,0.125,2,1,1
54,0.875,0.125,2,1,4
47,0,0.125,3,1,4
51,0.125,0.125,2,1,1
54,0.25,0.125,2,1,4
51,0.375,0.125,2,1,1
47,0.5,0.125,3,1,4
51,0.625,0.125,2,1,1
45,0.75,0.125,3,1,2
54,0.875,0.125,2,1,4
44,0,0.125,3,1,1
52,0.125,0.125,2,1,2
51,0.25,0.125,2,1,1
52,0.375,0.125,2,1,2
47,0.5,0.125,3,1,4
52,0.625,0.125,2,1,2
44,0.75,0.125,3,1,1
47,0.875,0.125,3,1,4
40,0,0.125,4,1,4
44,0.125,0.125,3,1,1
47,0.25,0.125,3,1,4
44,0.375,0.125,3,1,1
40,0.5,0.125,4,1,4
44,0.625,0.125,3,1,1
45,0.75,0.125,3,1,2
46,0.875,0.125,3,1,3
